来源作者,期刊,年度(期),标题,作者,机构,下载量,页码,页数,大小
于津平2,亚太经济 .,2018 (01),中日韩FTA战略差异比较与区域经济合作前景,杨源源1 于津平2,1.南京大学经济学院 2.南京大学商学院,下载：1491,页码：34-42+145-146,页数：11,大小：454K
于津平2,当代财经 .,2017 (11),“一带一路”国家交通基础设施质量与中国货物出口,崔岩 于津平,南京大学经济学院,下载：1509,页码：100-109,页数：10,大小：250K
于津平2,世界经济与政治论坛 .,2017 (05),“一带一路”国家基础设施质量与中国对外直接投资——基于面板门槛模型的研究,崔岩 于津平,南京大学经济学院,下载：2352,页码：135-152,页数：18,大小：2239K
于津平2,国际金融研究 .,2017 (09),异质性预期、宏观经济波动与货币政策有效性——来自数量型和价格型工具的双重检验,杨源源1 张晓林2 于津平1,1.南京大学经济学院 2.南京财经大学金融学院,下载：1552,页码：25-34,页数：10,大小：547K
于津平2,世界经济文汇 .,2017 (02),新常态下中国最优货币调控范式选择——基于财政货币政策互动视角,杨源源 于津平,南京大学经济学院,下载：850,页码：72-86,页数：15,大小：1009K
于津平2,产业经济研究 .,2017 (01),政府补贴与企业全要素生产率——基于新兴产业和传统制造业的对比分析,闫志俊 于津平,南京大学经济学院,下载：6300,页码：1-13,页数：13,大小：206K
于津平2,国际贸易问题 .,2016 (12),对外直接投资与企业创新效率,"李思慧1,2 于津平1",1.南京大学经济学院 2.江苏省社会科学院世界经济研究所,下载：3504,页码：28-38,页数：11,大小：1101K
于津平2,东南大学学报(哲学社会科学版) .,"2016 ,18 (06)",股权融资对企业经营绩效的影响——基于战略性新兴产业上市公司的研究,于津平 许咏,南京大学经济学院,下载：1995,页码：88-94+147,页数：8,大小：1130K
于津平2,世界经济 .,"2016 ,39 (10)",进口国通关成本对中国出口的影响,"吴小康1,2 于津平2",1.南京大学-约翰斯·霍普金斯大学中美文化研究中心 2.南京大学经济学院,下载：2799,页码：103-126,页数：24,大小：289K
于津平2,世界经济研究 .,2016 (05),增加值贸易视角下双边贸易利益再分解——以中美贸易为例,郑丹青1 于津平2,1.河南大学经济学院 2.南京大学经济学院,下载：1869,页码：52-63+135,页数：13,大小：235K
于津平2,经济理论与经济管理 .,2016 (03),战略性新兴产业发展中的区域竞争与地方政府补贴,于津平1 吴小康2,1.南京大学经济学院 2.南京大学中美文化研究中心,下载：1079,页码：101-112,页数：12,大小：209K
于津平2,江苏行政学院学报 .,2016 (02),有效促进战略性新兴产业发展的政策探讨,于津平 花浩翔,南京大学经济学院,下载：410,页码：49-55,页数：7,大小：604K
于津平2,世界经济文汇 .,2016 (01),贸易政策、扩大进口与失业,占华 于津平,南京大学经济学院,下载：960,页码：52-67,页数：16,大小：187K
于津平2,南开学报(哲学社会科学版) .,2016 (01),“一带一路”建设的利益、风险与策略,于津平 顾威,南京大学经济学院,下载：11307,页码：65-70,页数：6,大小：1527K
于津平2,国际贸易问题 .,2015 (12),外资进入与企业出口贸易增加值——基于中国微观企业异质性视角,"郑丹青1,2 于津平1",1.南京大学商学院 2.河南大学经济学院,下载：1174,页码：96-107,页数：12,大小：1008K
于津平2,当代经济科学 .,"2015 ,37 (01)",贸易开放对我国环境污染影响效应的实证检验——基于我国省际动态面板数据的系统GMM分析,占华 于津平,南京大学经济学院,下载：1886,页码：39-46+125-126,页数：10,大小：825K
于津平2,南大商学评论 .,"2014 ,11 (04)",新新贸易理论的贡献——从贸易所得说起,吴小康 于津平,南京大学经济学院,下载：212,页码：94-109,页数：16,大小：24495K
于津平2,世界经济研究 .,2014 (10),双边实际汇率、出口规模与出口质量,于津平 吴小康 熊俊,南京大学经济学院,下载：981,页码：47-52+88,页数：7,大小：385K
于津平2,世界经济研究 .,2014 (08),中国贸易竞争力与全要素碳减排效率关系的研究,周玲玲 于津平,南京大学经济学院,下载：710,页码：48-53+88,页数：7,大小：477K
于津平2,国际贸易问题 .,2014 (08),中国出口贸易增加值的微观核算及影响因素研究,"郑丹青1,2 于津平1",1.南京大学商学院 2.河南大学经济学院,下载：3909,页码：3-13,页数：11,大小：1268K
于津平2,南开经济研究 .,2014 (03),市场化进程与我国经济增长方式——基于省际面板数据的实证研究,赵文军1 于津平2,1.深圳大学经济学院 2.南京大学经济学院,下载：3314,页码：3-22,页数：20,大小：1134K
于津平2,金融研究 .,2014 (05),资本账户开放路径与经济波动——基于动态随机一般均衡模型的福利分析,孙俊 于津平,南京大学经济学院,下载：2000,页码：48-64,页数：17,大小：1853K
于津平2,国际经贸探索 .,"2014 ,30 (04)",引力方程:从经验到理论,吴小康 于津平,南京大学商学院,下载：768,页码：29-43,页数：15,大小：488K
于津平2,国际贸易问题 .,2014 (04),外商直接参与、间接溢出与工业企业生存,吴小康 于津平,南京大学商学院,下载：619,页码：126-135,页数：10,大小：817K
于津平2,世界经济与政治论坛 .,2014 (02),垂直专业化、出口技术含量与全球价值链分工地位,于津平 邓娟,南京大学经济学院,下载：2793,页码：44-62,页数：19,大小：432K
于津平2,国际经贸探索 .,"2013 ,29 (08)",国外对华反倾销与人民币汇率关系研究,"杨智华1,2 于津平1",1.南京大学商学院 2.南京财经大学国际经贸学院,下载：438,页码：92-102,页数：11,大小：649K
于津平2,江苏行政学院学报 .,2013 (04),基本现代化指标体系及其在我国东部地区现代化进程中的作用,于津平 孙俊,南京大学经济学院,下载：403,页码：47-51,页数：5,大小：243K
于津平2,世界经济研究 .,2013 (04),贸易摩擦、贸易壁垒与中国对外直接投资研究,李猛1 于津平2,1.贵州财经大学国际经济学院 2.南京大学经济学院,下载：4460,页码：66-72+89,页数：8,大小：521K
于津平2,南京社会科学 .,2013 (04),苏南地区现代化的标杆国家、进程评价和战略选择,孙宁华1 洪银兴2 于津平3,1.南京大学经济学院经济系 2.南京大学党委 3.南京大学经济学院,下载：365,页码：6-13+20,页数：9,大小：397K
于津平2,财贸经济 .,2013 (04),中国反倾销跨越动机对外直接投资研究,李猛1 于津平2,1.贵州财经大学国际经济学院 2.南京大学经济学院,下载：552,页码：76-88+49,页数：14,大小：473K
于津平2,经济研究 .,"2012 ,47 (08)",贸易开放、FDI与中国工业经济增长方式——基于30个工业行业数据的实证研究,赵文军1 于津平2,1.深圳大学经济学院 2.南京大学经济学院国际经济贸易系,下载：19420,页码：18-31,页数：14,大小：362K
于津平2,经济评论 .,2012 (04),实际外部财富、劳动生产率与人民币实际汇率——基于跨期一般均衡理论的实证研究,赵文军1 于津平2,1.深圳大学经济学院 2.南京大学经济学院,下载：512,页码：110-119,页数：10,大小：284K
于津平2,世界经济与政治论坛 .,2012 (04),资本积累、贸易规模与出口商品技术含量,熊俊 于津平,南京大学商学院国际经济与贸易系,下载：584,页码：105-118,页数：14,大小：625K
于津平2,南开学报(哲学社会科学版) .,2012 (01),国际贸易新格局与全球贸易治理,于津平,南京大学国际经济贸易系,下载：2079,页码：70-76,页数：7,大小：123K
于津平2,世界经济研究 .,2011 (06),东道国区位优势与中国对外直接投资的相关性研究——基于动态面板数据广义矩估计分析,李猛 于津平,南京大学经济学院,下载：3497,页码：63-67+74+89,页数：7,大小：449K
于津平2,世界经济研究 .,2011 (05),国外对华反倾销的经济与政治动因,于津平 郭晓菁,南京大学经济学院国际经济贸易系,下载：1691,页码：20-26+87,页数：8,大小：262K
于津平2,世界经济研究 .,2011 (03),贸易结构、中间需求与生产性服务业发展,曹慧平 于津平,南京大学经济学院国际经济贸易系,下载：952,页码：58-62+89,页数：6,大小：243K
于津平2,国际贸易问题 .,2011 (01),长三角经济增长方式与外资利用效应研究,于津平1 许小雨2,1.南京大学经济学院国际经济贸易系 2.南京大学国际经济贸易系,下载：1594,页码：72-81,页数：10,大小：1128K
于津平2,社会科学战线 .,2010 (07),中国经济增长模式转型路径探究,于津平,南京大学经济学院,下载：1065,页码：35-41,页数：7,大小：130K
于津平2,经济评论 .,2010 (03),中国制造业行业就业影响因素研究,"王孝成1 于津平1,2",1.南京大学经济学院 2.南京大学国际经济研究所,下载：1055,页码：30-39+56,页数：11,大小：397K
于津平2,南京社会科学 .,2010 (01),进口贸易、人力资本与技术进步,王孝成 于津平,南京大学国际经济贸易系,下载：634,页码：30-35,页数：6,大小：74K
于津平2,南开经济研究 .,2009 (04),中国贸易顺差的结构特征及成因研究——基于两贸易品跨期均衡消费理论的实证分析,赵文军 于津平,南京大学经济学院,下载：983,页码：50-61+78,页数：13,大小：1147K
于津平2,世界经济研究 .,2009 (03),人民币汇率波动对外商直接投资影响的实证分析,程瑶 于津平,南京大学经济学院国际经济贸易系,下载：3655,页码：75-81+89,页数：8,大小：353K
于津平2,经济研究 .,"2008 ,43 (12)",中国贸易顺差成因研究——基于跨时最优消费理论的实证分析,"赵文军1 于津平1,2",1.南京大学经济学院 2.南京大学国际经济研究所,下载：3927,页码：29-38,页数：10,大小：105K
于津平2,世界经济与政治论坛 .,2008 (04),欧盟对中国FDI与中欧贸易关系的实证研究,叶文佳 于津平,南京大学国际经济贸易系,下载：848,页码：21-28,页数：8,大小：464K
于津平2,南京大学学报(哲学.人文科学.社会科学版) .,2008 (04),基于互利共赢的开放战略调整,于津平,南京大学经济学院,下载：380,页码：23-33,页数：11,大小：824K
于津平2,世界经济研究 .,2007 (12),人民币-美元汇率与中国FDI利用关系的实证分析,于津平1 赵佳2,1.南京大学商学院国际经济贸易系 2.复旦大学经济学院,下载：1446,页码：37-41+87,页数：6,大小：253K
于津平2,南京社会科学 .,2007 (07),发展中国家参与区域经济合作的动因及政策选择,张雨 于津平,南京大学国际经济贸易系,下载：724,页码：55-60,页数：6,大小：135K
于津平2,世界经济 .,2007 (04),汇率变化如何影响外商直接投资,于津平,南京大学经济学院国际经济贸易系,下载：3753,页码：54-65,页数：12,大小：710K
于津平2,科技进步与对策 .,2006 (02),我国高科技产业集聚的影响因素分析,杨晓琴 于津平,南京大学国际经济贸易系,下载：817,页码：120-122,页数：3,大小：58K
于津平2,数量经济技术经济研究 .,2005 (12),不完全竞争行业最优外资规模研究,于津平 梁琦,南京大学商学院,下载：552,页码：98-106,页数：9,大小：172K
于津平2,世界经济研究 .,2005 (09),日本对华直接投资与中日比较优势关系的实证研究,"于津平,张昊光","南京大学商学院国际经济贸易系 ,深圳航空公司国际市场部",下载：777,页数：7,大小：601k,
于津平2,南京社会科学 .,2005 (05),民营企业生命周期融资规律探析,"梁琦,于津平,吴崇","南京大学商学院国际经济贸易系,南京大学商学院,安徽淮南师范学院经管系 教授、博导南京210093 ,副教授、博士生南京210093 ,讲师、硕士生南京232000",下载：772,页码：86-92,页数：7,大小：202k
于津平2,世界经济与政治论坛 .,2005 (02),浅析中日经济合作关系的前景,于津平,南京大学国际经济贸易系,下载：721,页码：20-25,页数：6,大小：40k
于津平2,经济研究 .,2004 (05),外资政策、国民利益与经济发展,于津平,南京大学商学院国际经济贸易系 210093,下载：1487,页码：49-57,页数：9,大小：77k
于津平2,江苏统计 .,2003 (11),影响江苏直接投资区位选择的因素,"姜秀兰,于津平","南京大学,南京大学 江苏南京 210093 ,江苏南京 210093",下载：171,页码：22-23,页数：2,大小：173k
于津平2,国际经济评论 .,2003 (06),中日经济关系对日本经济的影响,于津平,南京大学国际经济研究所 副所长、副教授,下载：517,页码：52-55,页数：4,大小：680k
于津平2,世界经济 .,2003 (05),中国与东亚主要国家和地区间的比较优势与贸易互补性,于津平,南京大学商学院 南京市汉口路22号210093,下载：8610,页码：33-40+80,页数：9,大小：178k
于津平2,爆炸与冲击 .,1991 (02),多孔颗粒火药床燃烧转爆轰的敏感性研究,于津平 高耀林 范钦文 王荪源,"华东工学院,华东工学院,华东工学院,华东工学院,",下载：68,页码：139-145,页数：7,大小：350K
于津平2,爆破器材 .,1991 (02),爆燃和爆炸概念的含义,于津平,华东工学院,下载：226,页码：30-31,页数：2,大小：126K
于津平2,弹道学报 .,1991 (01),火炸药燃烧转爆轰的机理假说综述,于津平,华东工学院化工学院,下载：293,页码：71-75+41,页数：6,大小：274k
于津平2,南京理工大学学报(自然科学版) .,1989 (02),粒状硝胺火药燃烧转爆轰的研究,"曲作家,于津平,高耀林,范钦文,王荪源","华东工学院党委 ,华东工学院化工学院,华东工学院化工学院,华东工学院化工学院,华东工学院化工学院 , , ,",下载：69,页码：14-20,页数：7,大小：261k
"李嘉楠1,2,3",政治经济学评论 .,"2025 ,16 (01)",资本有机构成提高会增加劳动时间吗?——马克思—凯恩斯劳动时间命题的检验,"李嘉楠1,2 汤胜君1 赵书宁3 高岭4",1.厦门大学经济学院 2.厦门大学经济学系 3.南开大学马克思主义学院 4.中山大学岭南学院,下载：399,页码：199-224,页数：26,大小：1221K
"李嘉楠1,2,3",南开经济研究 .,2025 (01),基础设施援助与工业发展——来自中国对外援助的经验证据,庄露 李嘉楠 曹淇,厦门大学经济学院,下载：292,页码：183-200,页数：18,大小：859K
"李嘉楠1,2,3",金融研究 .,2024 (07),外部货币冲击与金融稳定——基于近代白银法案的经验研究,李嘉楠 陈立 周颖刚,厦门大学经济学院/王亚南经济研究院,下载：733,页码：188-206,页数：19,大小：1251K
"李嘉楠1,2,3",国际金融研究 .,2024 (05),区域性税收优惠政策能够提升企业表现吗？——基于集团内利润转移避税的研究,"李嘉楠1,2 陈立1 肖金利3 杨宇4",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.厦门大学管理学院 4.中国人民大学财政金融学院,下载：1698,页码：86-96,页数：11,大小：1285K
"李嘉楠1,2,3",管理评论 .,"2024 ,36 (04)",交通基础设施建设与企业决策权配置——基于高铁时刻表的证据,李嘉楠1 肖金利2 文凤华3 黄晓萍4,1.厦门大学经济学院/王亚南经济研究院 2.厦门大学管理学院 3.中南大学商学院 4.复旦大学经济学院,下载：771,页码：3-14,页数：12,大小：1400K
"李嘉楠1,2,3",中国经济史研究 .,2024 (01),国际贸易与近代“市”的兴起：基于一战持续影响的证据,李嘉楠1 庄嘉霖2 梁若冰1,1.厦门大学经济学院 2.中南财经政法大学财政税务学院,下载：223,页码：39-58,页数：20,大小：1667K
"李嘉楠1,2,3",经济学(季刊) .,"2023 ,23 (03)",城市群集聚空间外部性如何影响城市规模工资溢价?,施正政1 李嘉楠2,1.丽水学院商学院 2.厦门大学经济学院、 王亚南经济研究院,下载：3066,页码：1000-1018,页数：19,大小：349K
"李嘉楠1,2,3",经济资料译丛 .,2023 (01),探索课程思政创新 立足前沿铸魂育人,李嘉楠,厦门大学经济学院和王亚南经济研究院,下载：60,页码：76-79,页数：4,大小：822K
"李嘉楠1,2,3",世界经济 .,"2022 ,45 (11)",贸易冲击与产业长期发展：“一战”的经验证据,李嘉楠1 高雅婷2 梁若冰3,1.厦门大学经济学院、王亚南经济研究院 2.湖北经济学院财经高等研究院 3.厦门大学经济学院,下载：1767,页码：53-76,页数：24,大小：1251K
"李嘉楠1,2,3",中国经济问题 .,2022 (04),女儿数量、情感支持与老年父母健康——来自CHARLS的证据,"李嘉楠1,2 陈荣杰3",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.中国人民大学应用经济学院,下载：1890,页码：170-183,页数：14,大小：216K
"李嘉楠1,2,3",经济学(季刊) .,"2021 ,21 (04)",援助与冲突——基于中国对外援助的证据,"李嘉楠1,2 龙小宁3,4 姜琪1",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.厦门大学知识产权研究院 4.厦门大学“一带一路”研究院,下载：3738,页码：1123-1146,页数：24,大小：640K
"李嘉楠1,2,3",经济学(季刊) .,"2021 ,21 (03)",灾异、天人感应与政治权力——来自东汉的证据,孙程九1 焦建华1 代谦2 李嘉楠1,1.厦门大学经济学院 2.中南财经政法大学经济学院,下载：3201,页码：1103-1122,页数：20,大小：416K
"李嘉楠1,2,3",台湾研究集刊 .,2020 (06),"穷则兼济天下,富则独善其身:台湾地区的经济发展质量与民众公共事务参与",李嘉楠 王禹诺,厦门大学经济学院,下载：460,页码：10-23,页数：14,大小：173K
"李嘉楠1,2,3",世界经济 .,"2019 ,42 (09)",开放、市场整合与经济空间变迁:基于近代中国开埠的证据,"李嘉楠1,2,3 代谦4 庄嘉霖1",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.计量经济学教育部重点实验室(厦门大学) 4.中南财经政法大学经济学院,下载：2872,页码：27-51,页数：25,大小：319K
"李嘉楠1,2,3",管理世界 .,"2019 ,35 (08)",贸易成本、市场整合与生产专业化——基于商品微观价格数据的验证,"李嘉楠1,2 孙浦阳3 唐爱迪4",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.南开大学经济学院 4.清华大学经济管理学院,下载：5212,页码：30-43+83+190,页数：16,大小：1359K
"李嘉楠1,2,3",经济资料译丛 .,2018 (01),子代受教育程度与代际收入流动性——基于中国家庭居民收入的实证研究,李龙杰1 李梦玲2 李嘉楠2,1.南京大学商学院 2.厦门大学经济学院,下载：617,页码：40-50,页数：11,大小：132K
"李嘉楠1,2,3",南开经济研究 .,2017 (01),外来人口是否促进了城市房价上涨?——基于中国城市数据的实证研究,李嘉楠1 游伟翔1 孙浦阳2,1.厦门大学经济学院 2.南开大学经济学院国际经济与贸易系,下载：3135,页码：58-76,页数：19,大小：870K
"李嘉楠1,2,3",中国经济问题 .,2016 (06),中国经贸合作新方式——境外经贸合作区,李嘉楠1 龙小宁1 张相伟2,1.厦门大学经济学院与王亚南研究院 2.厦门大学经济学院,下载：3022,页码：64-81,页数：18,大小：240K
代谦4,经济体制改革 .,2024 (01),国家信息消费试点对城市创新水平的影响研究,闫晨1 蔡曦2 代谦1,1.中南财经政法大学经济学院 2.中国社会科学院财经战略研究院,下载：1385,页码：53-61,页数：9,大小：1506K
代谦4,经济学(季刊) .,"2021 ,21 (03)",灾异、天人感应与政治权力——来自东汉的证据,孙程九1 焦建华1 代谦2 李嘉楠1,1.厦门大学经济学院 2.中南财经政法大学经济学院,下载：3201,页码：1103-1122,页数：20,大小：416K
代谦4,世界经济 .,"2019 ,42 (09)",开放、市场整合与经济空间变迁:基于近代中国开埠的证据,"李嘉楠1,2,3 代谦4 庄嘉霖1",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.计量经济学教育部重点实验室(厦门大学) 4.中南财经政法大学经济学院,下载：2872,页码：27-51,页数：25,大小：319K
庄嘉霖1,经济科学 .,2024 (01),国际贸易、交通基础设施与区域经济长期增长——基于近现代中国的研究,陈雯1 庄嘉霖2,1.厦门大学经济学院 2.中南财经政法大学财政税务学院,下载：1688,页码：208-231,页数：24,大小：1381K
庄嘉霖1,中国经济史研究 .,2024 (01),国际贸易与近代“市”的兴起：基于一战持续影响的证据,李嘉楠1 庄嘉霖2 梁若冰1,1.厦门大学经济学院 2.中南财经政法大学财政税务学院,下载：223,页码：39-58,页数：20,大小：1667K
庄嘉霖1,经济学(季刊) .,"2023 ,23 (04)",国际贸易与区域经济长期增长——基于近现代中国的研究,庄嘉霖1 陈雯2 陈鸣3,1.中南财经政法大学财政税务学院 2.厦门大学经济学院 3.复旦大学经济学院,下载：2809,页码：1513-1530,页数：18,大小：1835K
庄嘉霖1,经济研究 .,"2022 ,57 (11)",国际贸易、区域政策与区域经济长期增长——来自“三线建设”地区的考察,庄嘉霖1 陈雯2 杨曦2,1.中南财经政法大学财政税务学院 2.厦门大学经济学院国际经济与贸易系,下载：5045,页码：65-83,页数：19,大小：269K
庄嘉霖1,厦门大学学报(哲学社会科学版) .,"2022 ,72 (03)",美国对华反倾销与我国出口产品质量——以中间品进口为视角,陈雯1 庄嘉霖1 曾荣2,1.厦门大学经济学院 2.北京大学经济学院,下载：1725,页码：32-45,页数：14,大小：1354K
庄嘉霖1,世界经济 .,"2019 ,42 (09)",开放、市场整合与经济空间变迁:基于近代中国开埠的证据,"李嘉楠1,2,3 代谦4 庄嘉霖1",1.厦门大学经济学院 2.厦门大学王亚南经济研究院 3.计量经济学教育部重点实验室(厦门大学) 4.中南财经政法大学经济学院,下载：2872,页码：27-51,页数：25,大小：319K
庄嘉霖1,经济资料译丛 .,2017 (02),谁从阿里巴巴光棍节中获利?,V.Brian Viard1 庄嘉霖2,1.长江商学院 2.厦门大学经济学院,下载：87,页码：70-71,页数：2,大小：67K
庄嘉霖1,经济资料译丛 .,2016 (02),航空公司面临的“扼制问题”,V.Brian Viard1 庄嘉霖2,1.长江商学院 2.武汉大学经济与管理学院,下载：47,页码：66-67,页数：2,大小：134K
陈斌开1,管理世界 .,"2025 ,41 (06)",跨地投资扭曲、产品市场分割与资本的空间配置效率——基于量化空间均衡模型的研究,赵扶扬 王都 戴若尘 陈斌开,中央财经大学经济学院,页码：20-43,页数：24,大小：2321K,
陈斌开1,管理世界 .,"2025 ,41 (03)",创新驱动、激励机制与高校科技成果转化——以省部共建国家重点实验室为例,亢延锟1 郭家宝2 胡志安2 陈斌开2,1.西安交通大学经济与金融学院 2.中央财经大学经济学院,下载：5794,页码：50-76,页数：27,大小：1992K
陈斌开1,兰州大学学报(社会科学版) .,2024 (05),技术革命、新赛道与新质生产力,陈斌开 索昊,中央财经大学经济学院,下载：892,页码：5-16,页数：12,大小：2044K
陈斌开1,兰州大学学报(社会科学版) .,"2024 ,52 (05)",技术革命、新赛道与新质生产力,陈斌开 索昊,中央财经大学经济学院,下载：1306,页码：5-16,页数：12,大小：2060K
陈斌开1,北京交通大学学报(社会科学版) .,查看该刊数据库收录来源,市场一体化的测度、影响因素与经济效应：研究评述与展望,陈斌开 索昊,中央财经大学经济学院,下载：384,页数：10,大小：631K,
陈斌开1,北京交通大学学报(社会科学版) .,"2024 ,23 (04)",市场一体化的测度、影响因素与经济效应：研究评述与展望,陈斌开 索昊,中央财经大学经济学院,下载：1145,页码：50-59,页数：10,大小：1284K
陈斌开1,中山大学学报(社会科学版) .,"2024 ,64 (06)",数字经济时代“生产率消失之谜”初探,陈斌开 索昊,中央财经大学经济学院,下载：287,页码：390-401,页数：12,大小：2635K
陈斌开1,中国农村经济评论 .,2024 (01),城乡融合、农民增收与共同富裕,陈斌开 王子栋,中央财经大学经济学院,下载：102,页码：30-45+123,页数：17,大小：1143K
陈斌开1,社会科学文摘 .,2024 (10),中国制造业企业的全要素生产率：新数据、新方法与新发现,申广军1 陈斌开2,1.中山大学岭南学院 2.中央财经大学经济学院,下载：492,页码：79-81,页数：3,大小：1152K
陈斌开1,经济学(季刊) .,"2024 ,24 (04)",中国制造业企业的全要素生产率：新数据、新方法与新发现,申广军1 陈斌开2,1.中山大学岭南学院 2.中央财经大学经济学院,下载：5384,页码：1048-1065,页数：18,大小：1412K
陈斌开1,国际经济评论 .,2024 (03),人工智能与社会公平：国际经验、影响机制与公共政策,"陈斌开1,2 徐翔2",1.中央财经大学 2.中央财经大学经济学院,下载：2201,页码：70-88,页数：19,大小：1114K
陈斌开1,国际经济评论 .,2024 (03),人工智能与社会公平：国际经验、影响机制与公共政策,"陈斌开1,2 徐翔2",1.中央财经大学 2.中央财经大学经济学院,下载：2993,页码：70-88+5,页数：20,大小：1203K
陈斌开1,世界经济 .,2024 (03),公共基础设施社会参与的历史起源：来自乡村水利建设的证据,王丹利1 陈斌开2,1.上海对外经贸大学国际经贸学院 2.中央财经大学经济学院,下载：1362,页码：151-183,页数：33,大小：1447K
陈斌开1,世界经济 .,"2024 ,47 (03)",公共基础设施社会参与的历史起源：来自乡村水利建设的证据,王丹利1 陈斌开2,1.上海对外经贸大学国际经贸学院 2.中央财经大学经济学院,下载：1779,页码：151-183,页数：33,大小：1490K
陈斌开1,学习月刊 .,2024 (03),深刻把握新质生产力的内涵及要求,"陈斌开1,2",1.中央财经大学 2.中央财经大学经济学院,下载：339,页码：8-10,页数：3,大小：849K
陈斌开1,学术月刊 .,"2024 ,56 (02)",利率管制与利率市场化——来自中国实践的总结,陈斌开1 刘莉亚2,1.中央财经大学经济学院 2.上海财经大学金融学院,下载：1391,页码：66-93,页数：28,大小：2896K
陈斌开1,当代财经 .,查看该刊数据库收录来源,中国数据要素规模估计与结构分析——基于信息价值链的视角,徐翔1 田晓轩2 厉克奥博3 陈斌开1,1.中央财经大学经济学院 2.清华大学社会科学学院 3.清华大学中国经济思想与实践研究院,下载：1183,页数：14,大小：701K,
陈斌开1,当代财经 .,2024 (04),中国数据要素规模估计与结构分析——基于信息价值链的视角,徐翔1 田晓轩2 厉克奥博3 陈斌开1,1.中央财经大学经济学院 2.清华大学社会科学学院 3.清华大学中国经济思想与实践研究院,下载：2420,页码：3-16,页数：14,大小：1143K
陈斌开1,管理学报 .,"2024 ,21 (01)",企业高质量数字化转型管理：理论前沿,谢康1 肖静华1 王刊良2 杨汝岱3 郭迅华4 杨俊5 吴瑶1 陈斌开6 寇宗来7 李雪灵8,1.中山大学管理学院 2.中国人民大学商学院 3.北京大学经济学院 4.清华大学经济管理学院 5.浙江大学管理学院 6.中央财经大学经济学院 7.复旦大学经济学院 8.吉林大学商学与管理学院,下载：4216,页码：1-9,页数：9,大小：226K
陈斌开1,经济学(季刊) .,"2023 ,23 (06)",公共服务均等化、教育公平与共同富裕,陈斌开1 亢延锟2 侯嘉奕3,1.中央财经大学经济学院 2.西安交通大学经济与金融学院 3.北京大学光华管理学院,下载：9114,页码：2104-2118,页数：15,大小：1152K
陈斌开1,世界经济 .,2023 (11),中间品市场、国内贸易成本与区域协调发展,段玉婉1 方萱2 陈斌开3 吴利学4,1.中央财经大学国际经济与贸易学院 2.北京大学国家发展研究院 3.中央财经大学经济学院 4.中国社会科学院工业经济研究所,下载：288,页码：3-29,页数：27,大小：1496K
陈斌开1,世界经济 .,"2023 ,46 (11)",中间品市场、国内贸易成本与区域协调发展,段玉婉1 方萱2 陈斌开3 吴利学4,1.中央财经大学国际经济与贸易学院 2.北京大学国家发展研究院 3.中央财经大学经济学院 4.中国社会科学院工业经济研究所,下载：4002,页码：3-29,页数：27,大小：1545K
陈斌开1,管理世界 .,"2023 ,39 (11)",城乡融合的收入和福利效应研究——基于要素配置的视角,郭冬梅 陈斌开 吴楠,中央财经大学经济学院,下载：13377,页码：22-46,页数：25,大小：1921K
陈斌开1,社会科学文摘 .,2023 (10),外需冲击、经济再平衡与全国统一大市场构建,陈斌开 赵扶扬,中央财经大学经济学院,下载：376,页码：85-87,页数：3,大小：1502K
陈斌开1,世界经济 .,2023 (07),教育基础设施、人力资本与共同富裕,亢延锟1 侯嘉奕2 陈斌开3,1.西安交通大学经济与金融学院 2.北京大学光华管理学院 3.中央财经大学经济学院,下载：316,页码：140-164,页数：25,大小：1251K
陈斌开1,世界经济 .,"2023 ,46 (07)",教育基础设施、人力资本与共同富裕,亢延锟1 侯嘉奕2 陈斌开3,1.西安交通大学经济与金融学院 2.北京大学光华管理学院 3.中央财经大学经济学院,下载：4975,页码：140-164,页数：25,大小：1218K
陈斌开1,经济研究 .,"2023 ,58 (06)",外需冲击、经济再平衡与全国统一大市场构建——基于动态量化空间均衡的研究,陈斌开 赵扶扬,中央财经大学经济学院,下载：8692,页码：30-48,页数：19,大小：1589K
陈斌开1,经济科学 .,2023 (02),国税地税征管体制改革、信息获取与企业避税——基于国税地税合作的证据,张明昂1 陈斌开2 岳林峰3,1.中央财经大学财政税务学院 2.中央财经大学经济学院 3.北京大学经济学院,下载：1754,页码：71-88,页数：18,大小：404K
陈斌开1,经济学(季刊) .,"2023 ,23 (01)",开发区政策可以促进城市平衡发展吗?,孙伟增 陈斌开,中央财经大学经济学院,下载：4645,页码：74-90,页数：17,大小：302K
陈斌开1,国际经济评论 .,查看该刊数据库收录来源,公平和效率如何兼得：共同富裕的国际经验,陈斌开 马燕来,中央财经大学经济学院,下载：1848,页数：26,大小：1397K,
陈斌开1,国际经济评论 .,2023 (04),公平和效率如何兼得：共同富裕的国际经验,陈斌开 马燕来,中央财经大学经济学院,下载：2868,页码：44-69+5,页数：27,大小：1408K
